[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Blank
FILEOPENTIME,3827503558.58519,04/13/2021,7:25 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,SampleHolder,SAMPLE_MATERIAL
INFO,Blank,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827503908.655,300.000701904297,3650.08569335937,1.59761549472272E-8,4.40005324263012E-6,1,2.99776006220938,40.0298881530762,1.99893906091737,11.1300004646182,5.58805986103512E-6,-3.04330547488389E-5,0.25,-5.50342941335838E-6,3.59961148721488E-8,-5.50243927886419E-6,300.000762939453,300.000762939453,3575.18383789063,3724.98754882812,49.5138218077168,19.4994020336294,34.8853645324707,0,0,0,120,300.245849609375,1,6,1,2.1405029296875,36.6568908691406,,,,,,,,,,,,,,,,
,3827503911.651,300.00016784668,3500.30944824219,3.08032200236055E-6,4.25609170685725E-6,1,2.99776006220938,40.0298881530762,1.99901592878352,11.1300004646182,2.36395835152504E-5,-3.34424098864214E-5,0.25,-6.60059986545735E-6,3.10381509145775E-6,-6.5882751242472E-6,300.000640869141,300.000640869141,3425.43505859375,3575.18383789063,49.7256431364283,19.4995026648854,34.8867111206055,0,0,0,120,300.240325927734,1,6,1,2.13760375976562,36.6568908691406,,,,,,,,,,,,,,,,
,3827503914.666,299.99983215332,3348.01550292969,3.4804851843172E-6,3.99362876620994E-6,1,2.99776006220938,40.0298881530762,1.99898091375937,11.1300004646182,2.53834977898141E-5,-3.04412939574951E-5,0.25,-6.13056236503783E-6,3.50220067387035E-6,-6.11686121908834E-6,299.999694824219,299.999694824219,3270.59594726562,3425.43505859375,49.6318477141206,19.5016124400729,34.8875198364258,0,0,0,120,300.238677978516,1,6,1,2.13699340820313,36.6568908691406,,,,,,,,,,,,,,,,
,3827503917.6775,300.000701904297,3195.6943359375,4.93842770481414E-6,3.74556515872143E-6,1,2.99776006220938,40.0298881530762,1.99900799017006,11.1300004646182,3.39784283066481E-5,-3.19075036275037E-5,0.25,-6.65881952188756E-6,4.96181828744375E-6,-6.63972416470339E-6,299.999969482422,299.999969482422,3120.79272460937,3270.59594726562,49.7834836468514,19.5017363164069,34.8902130126953,0,0,0,120,300.240783691406,1,6,1,2.13760375976562,37.1456527709961,,,,,,,,,,,,,,,,
,3827503920.6725,300.001419067383,3045.72937011719,5.68520513212809E-6,3.53397075652438E-6,1,2.99776006220938,40.0298881530762,1.99893308729088,11.1300004646182,3.77344007675246E-5,-2.9086665498376E-5,0.25,-6.28406600773114E-6,5.70710577528798E-6,-6.26231679064909E-6,300.001434326172,300.001434326172,2970.666015625,3120.79272460937,49.7866101609283,19.50271597385,34.9007225036621,0,0,0,120,300.244415283203,1,6,1,2.13851928710938,37.1456527709961,,,,,,,,,,,,,,,,
,3827503923.653,300.001403808594,2898.189453125,7.99407172006185E-6,3.35232305965863E-6,1,2.99776006220938,40.0298881530762,1.99889869634377,11.1300004646182,5.01007858276389E-5,-2.4525130414759E-5,0.25,-5.87670056996633E-6,8.01409931617288E-6,-5.84661958933036E-6,300.001403808594,300.001403808594,2825.712890625,2970.666015625,49.5560297477552,19.5030850438914,34.8961410522461,0,0,0,120,300.242614746094,1,6,1,2.14004516601562,37.6344108581543,,,,,,,,,,,,,,,,
,3827503926.6505,300.001510620117,2750.80920410156,8.77199451465044E-6,3.13590105461979E-6,1,2.99776006220938,40.0298881530762,1.99899077519975,11.1300004646182,5.52050977685044E-5,-2.81664744728562E-5,0.25,-6.67513840977554E-6,8.79479552623955E-6,-6.64209146465255E-6,300.001403808594,300.001403808594,2675.90551757813,2825.712890625,49.7983345887168,19.5027175765245,34.8872489929199,0,0,0,120,300.240509033203,1,6,1,2.13912963867187,37.6344108581543,,,,,,,,,,,,,,,,
,3827503929.665,300.001693725586,2601.17944335938,1.00700754885286E-5,2.91629773430979E-6,1,2.99776006220938,40.0298881530762,1.99898858784099,11.1300004646182,6.07850560668962E-5,-1.79991983069441E-5,0.25,-5.07198859735564E-6,1.00868237485679E-5,-5.03448988862786E-6,300.001617431641,300.001617431641,2526.45336914062,2675.90551757813,49.7530001346014,19.5013533038947,34.9018020629883,0,0,0,120,300.240509033203,1,6,1,2.13836669921875,37.6344108581543,,,,,,,,,,,,,,,,
,3827503932.661,300.001770019531,2451.5556640625,1.17499988196774E-5,2.56988923728517E-6,1,2.99776006220938,40.0298881530762,1.99894110324557,11.1300004646182,7.17235017645956E-5,-2.54290703559308E-5,0.25,-6.71838245847889E-6,1.17724529728912E-5,-6.67449209422273E-6,300.001770019531,300.001770019531,2376.65795898438,2526.45336914062,49.7334594216207,19.5015326398768,34.8915596008301,0,0,0,120,300.243682861328,1,6,1,2.14019775390625,37.6344108581543,,,,,,,,,,,,,,,,
,3827503935.64,300.001388549805,2301.76037597656,1.26909783986175E-5,2.33210758257843E-6,1,2.99776006220938,40.0298881530762,1.99896550369545,11.1300004646182,7.60538116564287E-5,-1.96345930930544E-5,0.25,-5.84099281085162E-6,1.27100811138808E-5,-5.79382689848654E-6,300.001770019531,300.001770019531,2226.86279296875,2376.65795898438,49.8850953543514,19.5020642888295,34.9053039550781,0,0,0,120,300.239898681641,1,6,1,2.1356201171875,37.6344108581543,,,,,,,,,,,,,,,,
,3827503938.639,300.000961303711,2151.73693847656,1.36024428909013E-5,2.18027488196692E-6,1,2.99776006220938,40.0298881530762,1.99897853968302,11.1300004646182,8.14471103330334E-5,-2.06606642913592E-5,0.25,-6.1910498295473E-6,1.36226652806215E-5,-6.14050775602164E-6,300.001007080078,300.001007080078,2076.61108398438,2226.86279296875,49.8069325024283,19.5043678386948,34.9090766906738,0,0,0,120,300.243286132812,1,6,1,2.13897705078125,38.1231689453125,,,,,,,,,,,,,,,,
,3827503941.64,300.000717163086,2001.63067626953,1.42673727268942E-5,1.93297266714577E-6,1,2.99776006220938,40.0298881530762,1.99899256265332,11.1300004646182,8.45450853141893E-5,-1.6776499969861E-5,0.25,-5.60910896804113E-6,1.42853653255205E-5,-5.55624558519473E-6,300.000915527344,300.000915527344,1926.65026855469,2076.61108398438,49.8616464987745,19.5019001682711,34.9152755737305,0,0,0,120,300.243682861328,1,6,1,2.13699340820313,38.1231689453125,,,,,,,,,,,,,,,,
,3827503944.6395,300.000549316406,1851.76300048828,1.43087055401138E-5,1.72329188700732E-6,1,2.99776006220938,40.0298881530762,1.99896947874694,11.1300004646182,8.46226343021845E-5,-1.59034901128362E-5,0.25,-5.45882153322047E-6,1.43261445249947E-5,-5.40583272648049E-6,300.000518798828,300.000518798828,1776.87573242187,1926.65026855469,50.0672147993322,19.5022631752714,34.9085388183594,0,0,0,120,300.239898681641,1,6,1,2.13638305664062,38.1231689453125,,,,,,,,,,,,,,,,
,3827503947.6435,300.000778198242,1701.72235107422,1.54421271191488E-5,1.39204675113827E-6,1,2.99776006220938,40.0298881530762,1.9989584112358,11.1300004646182,9.10746483951676E-5,-1.57755657952611E-5,0.25,-5.64043424129909E-6,1.5460034945568E-5,-5.58329006335057E-6,300.000579833984,300.000579833984,1626.56896972656,1776.87573242187,49.7232982508706,19.5042024545428,34.9268646240234,0,0,0,120,300.239501953125,1,6,1,2.14004516601562,38.1231689453125,,,,,,,,,,,,,,,,
,3827503950.6285,300.001480102539,1551.60931396484,1.56777712091338E-5,1.34586435340924E-6,1,2.99776006220938,40.0298881530762,1.9990019891312,11.1300004646182,9.17959160545268E-5,-1.23045341096074E-5,0.25,-5.05559247901675E-6,1.56935107880649E-5,-4.99768947960533E-6,300.0009765625,300.0009765625,1476.64965820313,1626.56896972656,49.8155304161399,19.5035534314917,34.9198570251465,0,0,0,120,300.245483398438,1,6,1,2.13958740234375,38.6119270324707,,,,,,,,,,,,,,,,
