[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S1
FILEOPENTIME,3827492768.42273,04/13/2021,4:26 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S1,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827492969.144,300.003524780273,1452.08728027344,2.44060151326467E-5,1.54714415148749E-6,1,2.99776006220938,40.0298881530762,2.00916049217275,11.230000294745,0.000140582771755482,-2.49638518671509E-6,0.25,-4.85716486679131E-6,2.44195522794401E-5,-4.76753604804994E-6,300.003631591797,300.003631591797,1422.04858398438,1482.1259765625,49.6232498004091,19.528190793558,37.6353950500488,0,0,0,120,300.236328125,1,6,1,2.14553833007813,37.1456527709961,,,,,,,,,,,,,,,,
,3827492972.139,300.003173828125,1392.07434082031,2.38009279837314E-5,1.48406386589971E-6,1,2.99776006220938,40.0298881530762,2.00919880609477,11.230000294745,0.000137676236994517,-5.62534021090326E-6,0.25,-5.31058750493476E-6,2.38162178732222E-5,-5.22308319390174E-6,300.00341796875,300.00341796875,1362.10009765625,1422.04858398438,49.5912030311206,19.5268474491551,37.6361999511719,0,0,0,120,300.236724853516,1,6,1,2.14584350585938,37.1456527709961,,,,,,,,,,,,,,,,
,3827492975.133,300.002990722656,1332.19390869141,2.41722094977072E-5,1.34715683791805E-6,1,2.99776006220938,40.0298881530762,2.00915707185107,11.230000294745,0.000139216698759125,-2.36680171755447E-6,0.25,-4.79163141699803E-6,2.41855483251265E-5,-4.70286374296293E-6,300.0029296875,300.0029296875,1302.28771972656,1362.10009765625,49.5536848621975,19.5280378230031,37.6361999511719,0,0,0,120,300.237518310547,1,6,1,2.14736938476562,37.1456527709961,,,,,,,,,,,,,,,,
,3827492978.114,300.002349853516,1273.12567138672,2.3281389924605E-5,1.33384821803682E-6,1,2.99776006220938,40.0298881530762,2.00919134422376,11.230000294745,0.000134893106742381,-6.73503964434284E-6,0.25,-5.41632588616874E-6,2.32971533647606E-5,-5.3306933886833E-6,300.003051757812,300.003051757812,1243.96362304688,1302.28771972656,49.9616949492361,19.5277831680023,37.6432075500488,0,0,0,120,300.239898681641,1,6,1,2.14492797851562,37.1456527709961,,,,,,,,,,,,,,,,
,3827492981.1105,300.002319335937,1212.95599365234,2.34800632172415E-5,1.14406783271955E-6,1,2.99776006220938,40.0298881530762,2.00913855717363,11.230000294745,0.000135625416064186,-4.49287395371572E-6,0.25,-5.04899161617281E-6,2.34944564206039E-5,-4.9626981545891E-6,300.001647949219,300.001647949219,1181.94836425781,1243.96362304688,49.8514853280245,19.529386560521,37.6324272155762,0,0,0,120,300.240905761719,1,6,1,2.144775390625,37.6344108581543,,,,,,,,,,,,,,,,
,3827492984.121,300.002914428711,1152.99725341797,2.21999235573679E-5,1.06236893713731E-6,1,2.99776006220938,40.0298881530762,2.00911690654305,11.230000294745,0.000128303363436011,-4.65554007766988E-6,0.25,-4.84703764115075E-6,2.22137983978135E-5,-4.76543633228057E-6,300.002990722656,300.002990722656,1124.04614257812,1181.94836425781,49.6982861382553,19.5294865257825,37.6394348144531,0,0,0,120,300.239898681641,1,6,1,2.1466064453125,37.6344108581543,,,,,,,,,,,,,,,,
,3827492987.0975,300.002349853516,1094.00054931641,2.33277547651972E-5,9.58283901752615E-7,1,2.99776006220938,40.0298881530762,2.00917517368577,11.230000294745,0.0001345428500225,-3.32774390348724E-6,0.25,-4.81192494556767E-6,2.33413111898707E-5,-4.72622531929384E-6,300.002838134766,300.002838134766,1063.95495605469,1124.04614257812,49.6420088848706,19.5284661223153,37.6504821777344,0,0,0,120,300.241485595703,1,6,1,2.14462280273438,37.6344108581543,,,,,,,,,,,,,,,,
,3827492990.114,300.002838134766,1032.98675537109,2.17739070874888E-5,9.20909243307373E-7,1,2.99776006220938,40.0298881530762,2.00916407820617,11.230000294745,0.000126781559031436,-9.75654058402008E-6,0.25,-5.68746745257042E-6,2.17909123802231E-5,-5.60727335036758E-6,300.001861572266,300.001861572266,1002.0185546875,1063.95495605469,49.7092289375245,19.5301672432083,37.6375503540039,0,0,0,120,300.239898681641,1,6,1,2.1429443359375,37.6344108581543,,,,,,,,,,,,,,,,
,3827492993.1315,300.003890991211,973.037841796875,2.14842536425627E-5,8.42955290393083E-7,1,2.99776006220938,40.0298881530762,2.00915071365708,11.2399999052286,0.000125024908434547,-9.24307229913753E-6,0.25,-5.54281586039924E-6,2.15007809077333E-5,-5.46370014667946E-6,300.003814697266,300.003814697266,944.05712890625,1002.0185546875,49.6552965696976,19.5287063092193,37.6550636291504,0,0,0,120,300.241485595703,1,6,1,2.144775390625,37.6344108581543,,,,,,,,,,,,,,,,
,3827492996.11,300.004089355469,914.111755371094,2.10741160117307E-5,8.02529457451338E-7,1,2.99776006220938,40.0298881530762,2.00911812604521,11.230000294745,0.000121940179429313,-5.21281631424146E-6,0.25,-4.74392131283131E-6,2.10878056926956E-5,-4.66643320496971E-6,300.003967285156,300.003967285156,884.166381835938,944.05712890625,50.0250068592938,19.53085572087,37.661262512207,0,0,0,120,300.239715576172,1,6,1,2.16522216796875,37.6344108581543,,,,,,,,,,,,,,,,
