[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S5
FILEOPENTIME,3827497702.99633,04/13/2021,5:48 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S5,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827499454.9735,300.012191772461,3704.84826660156,2.69433189910003E-5,4.38546595698551E-6,1,2.99776006220938,40.0298881530762,1.99817132790352,11.2500004470348,0.000161169214821232,-4.03805539019346E-5,0.25,-1.21676812136305E-5,2.69830127913274E-5,-1.20675954190164E-5,300.012512207031,300.012512207031,3629.95239257812,3779.744140625,50.1891488483322,19.5157306368917,35.6900253295898,0,0,0,120,300.252838134766,1,6,1,2.1429443359375,35.190616607666,,,,,,,,,,,,,,,,
,3827499459.4595,300.011856079102,3480.19934082031,2.91136616258232E-5,3.95570267177634E-6,1,2.99776006220938,40.0298881530762,1.99815801455901,11.2500004470348,0.000171791040785534,-3.05691546447544E-5,0.25,-1.07857228365559E-5,2.91479602814259E-5,-1.06779741076977E-5,300.011871337891,300.011871337891,3330.4462890625,3629.95239257812,50.0367312870822,19.5143772299226,35.6824798583984,0,0,0,120,300.258392333984,1,6,1,2.14035034179687,36.1681327819824,,,,,,,,,,,,,,,,
,3827499463.963,300.011901855469,3255.583984375,2.79539839788838E-5,3.80481135891516E-6,1,2.99776006220938,40.0298881530762,1.99811255152302,11.2500004470348,0.000165206827982359,-3.08033816090665E-5,0.25,-1.06187393214513E-5,2.7987872328057E-5,-1.05152363777907E-5,300.011840820313,300.011840820313,3180.7216796875,3330.4462890625,50.1766427920245,19.5140450103606,35.6878700256348,0,0,0,120,300.252838134766,1,6,1,2.13973999023438,36.1681327819824,,,,,,,,,,,,,,,,
,3827499466.9755,300.012115478516,3105.60949707031,2.95705460984284E-5,3.4037795064732E-6,1,2.99776006220938,40.0298881530762,1.9981027353178,11.2500004470348,0.00017335451562669,-2.48041616177122E-5,0.25,-9.82599242832319E-6,2.96012759834488E-5,-9.71674166033127E-6,300.011962890625,300.011962890625,3030.49731445313,3180.7216796875,50.4509944022746,19.5157169285191,35.6892166137695,0,0,0,120,300.254364013672,1,6,1,2.14309692382813,36.1681327819824,,,,,,,,,,,,,,,,
,3827499469.96,300.012619018555,2955.54028320313,2.9998449290891E-5,3.18400394385906E-6,1,2.99776006220938,40.0298881530762,1.99816420980864,11.2500004470348,0.000176093509800503,-2.64105673196182E-5,0.25,-1.01936018130107E-5,3.00304436894343E-5,-1.0082730816571E-5,300.012268066406,300.012268066406,2880.58325195313,3030.49731445313,50.2977952125053,19.5146533553676,35.6905670166016,0,0,0,120,300.254577636719,1,6,1,2.14065551757813,36.1681327819824,,,,,,,,,,,,,,,,
,3827499472.961,300.012878417969,2805.64514160156,3.04999080899569E-5,2.9574870918505E-6,1,2.99776006220938,40.0298881530762,1.99813914793019,11.2500004470348,0.0001771914731172,-1.66453989187962E-5,0.25,-8.51856477843507E-6,3.05257231470145E-5,-8.40615264052233E-6,300.012969970703,300.012969970703,2730.70703125,2880.58325195313,50.1055145967745,19.5173632772102,35.7005348205566,0,0,0,120,300.258605957031,1,6,1,2.14126586914062,36.1681327819824,,,,,,,,,,,,,,,,
,3827499475.9595,300.013595581055,2656.06176757813,3.00582390985484E-5,2.55643583361471E-6,1,2.99776006220938,40.0298881530762,1.99806529936129,11.2500004470348,0.000175221025118724,-1.97353849695952E-5,0.25,-8.99763005167E-6,3.00858715247473E-5,-8.88674252208305E-6,300.012786865234,300.012786865234,2581.41650390625,2730.70703125,50.2337016739284,19.5162388505473,35.6951446533203,0,0,0,120,300.253814697266,1,6,1,2.13836669921875,36.6568908691406,,,,,,,,,,,,,,,,
,3827499478.9575,300.013885498047,2506.48522949219,3.10527073523018E-5,2.44387168192866E-6,1,2.99776006220938,40.0298881530762,1.99811977149947,11.2500004470348,0.000179000448319226,-9.19113300288167E-6,0.25,-7.27060012823501E-6,3.10738873739624E-5,-7.15638664981396E-6,300.014404296875,300.014404296875,2431.55395507813,2581.41650390625,50.2274486457745,19.5154785075562,35.6943397521973,0,0,0,120,300.251617431641,1,6,1,2.14019775390625,36.6568908691406,,,,,,,,,,,,,,,,
,3827499481.9645,300.013565063477,2356.45251464844,3.09372608589225E-5,2.20944692322712E-6,1,2.99776006220938,40.0298881530762,1.99817051865198,11.2500004470348,0.000179801619179979,-1.725287502508E-5,0.25,-8.70735394207893E-6,3.09636883731467E-5,-8.59331540276777E-6,300.013366699219,300.013366699219,2281.35107421875,2431.55395507813,50.2368281880053,19.515532146955,35.6964950561523,0,0,0,120,300.255401611328,1,6,1,2.1441650390625,36.6568908691406,,,,,,,,,,,,,,,,
,3827499484.9535,300.013885498047,2206.35595703125,3.12448216063782E-5,2.05837909486408E-6,1,2.99776006220938,40.0298881530762,1.99810965601216,11.2500004470348,0.000181482430288964,-1.68631165108533E-5,0.25,-8.69252442854047E-6,3.12711427821017E-5,-8.57736837606822E-6,300.013763427734,300.013763427734,2131.36083984375,2281.35107421875,50.0961350545438,19.5179241613314,35.6932601928711,0,0,0,120,300.251831054687,1,6,1,2.14309692382813,36.6568908691406,,,,,,,,,,,,,,,,
,3827499487.949,300.01416015625,2056.49847412109,3.07573058176995E-5,1.81320327261201E-6,1,2.99776006220938,40.0298881530762,1.99814662013253,11.2500004470348,0.000178048500342051,-1.32481434596591E-5,0.25,-7.95078400716553E-6,3.0781010920503E-5,-7.83752667239831E-6,300.014007568359,300.014007568359,1981.63610839844,2131.36083984375,49.8741525550822,19.5166581082302,35.7072715759277,0,0,0,120,300.257965087891,1,6,1,2.13958740234375,37.1456527709961,,,,,,,,,,,,,,,,
,3827499490.955,300.014007568359,1906.71429443359,3.13390664312021E-5,1.66655762537829E-6,1,2.99776006220938,40.0298881530762,1.99807667193175,11.2500004470348,0.000180039466243103,-5.91017320769377E-6,0.25,-6.72910295995919E-6,3.13582280778131E-5,-6.61393532771015E-6,300.014312744141,300.014312744141,1831.79248046875,1981.63610839844,50.300140098063,19.5160743025374,35.7110443115234,0,0,0,120,300.251037597656,1,6,1,2.14141845703125,36.6568908691406,,,,,,,,,,,,,,,,
