[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S1
FILEOPENTIME,3827491888.2378,04/13/2021,4:11 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S1,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827492642.346,300.004379272461,472.177368164063,1.53794097665982E-5,4.0673959171998E-7,1,2.99776006220938,40.0298881530762,2.00914068074584,11.230000294745,8.98875740298474E-5,-8.77288888083823E-6,0.25,-4.35561011459405E-6,1.5392651875879E-5,-4.29890837493883E-6,300.004638671875,300.004638671875,457.092071533203,487.262664794922,49.6506067985822,19.5231393954823,37.432746887207,0,0,0,120,300.247650146484,1,6,1,2.14309692382813,35.190616607666,,,,,,,,,,,,,,,,
,3827492645.358,300.004272460937,442.144622802734,1.48130385270433E-5,4.21160582763905E-7,1,2.99776006220938,40.0298881530762,2.00911268477947,11.230000294745,8.77440186541852E-5,-1.49156239812105E-5,0.25,-5.35810874135945E-6,1.4830024671578E-5,-5.30329790582439E-6,300.004119873047,300.004119873047,427.197174072266,457.092071533203,49.4919362091783,19.5238174482976,37.4443321228027,0,0,0,120,300.247650146484,1,6,1,2.14553833007813,34.7018585205078,,,,,,,,,,,,,,,,
,3827492648.368,300.004333496094,412.579513549805,1.44011054632088E-5,4.95828277830708E-7,1,2.99776006220938,40.0298881530762,2.0090987707457,11.2399999052286,8.43652332788973E-5,-9.30665981618468E-6,0.25,-4.27494115502192E-6,1.44142199356508E-5,-4.22181284569436E-6,300.004425048828,300.004425048828,397.961853027344,427.197174072266,49.4153366142937,19.5249464772318,37.4260101318359,0,0,0,120,300.241485595703,1,6,1,2.16537475585938,35.6793746948242,,,,,,,,,,,,,,,,
,3827492651.3645,300.004211425781,382.403778076172,1.31280556748507E-5,4.67023628634565E-7,1,2.99776006220938,40.0298881530762,2.00914831257079,11.230000294745,7.69429214192103E-5,-8.67063091304963E-6,0.25,-3.93057512504732E-6,1.31401329401208E-5,-3.88213757115806E-6,300.004241943359,300.004241943359,366.845703125,397.961853027344,49.4208080139283,19.5234175078426,37.4443321228027,0,0,0,120,300.246673583984,1,6,1,2.14614868164062,36.1681327819824,,,,,,,,,,,,,,,,
,3827492654.3625,300.004089355469,351.86979675293,1.35092764896261E-5,4.67923517229943E-7,1,2.99776006220938,40.0298881530762,2.0091387990306,11.230000294745,7.92955752453805E-5,-9.57956245409315E-6,0.25,-4.16290818649147E-6,1.35221346295381E-5,-4.11304396115224E-6,300.004180908203,300.004180908203,336.893890380859,366.845703125,49.4426936124668,19.5228049432307,37.4491844177246,0,0,0,120,300.249237060547,1,6,1,2.14385986328125,36.1681327819824,,,,,,,,,,,,,,,,
,3827492657.378,300.00373840332,321.96614074707,1.28182747191037E-5,5.44670267945965E-7,1,2.99776006220938,40.0298881530762,2.0091672177328,11.2399999052286,7.60100021436239E-5,-1.33493135238558E-5,0.25,-4.71605031794269E-6,1.28332629960191E-5,-4.66860671467639E-6,300.003997802734,300.003997802734,307.038391113281,336.893890380859,49.5966744307553,19.5243174337352,37.4505310058594,0,0,0,120,300.243103027344,1,6,1,2.16629028320313,36.1681327819824,,,,,,,,,,,,,,,,
,3827492660.3765,300.003814697266,291.970428466797,1.20440010380127E-5,5.62711495764448E-7,1,2.99776006220938,40.0298881530762,2.00914474181551,11.2399999052286,7.05669021586908E-5,-7.83114674917844E-6,0.25,-3.58379717633043E-6,1.20550004085626E-5,-3.53936294326021E-6,300.003479003906,300.003479003906,276.902465820313,307.038391113281,49.3973591583514,19.5235473944907,37.4540328979492,0,0,0,120,300.248260498047,1,6,1,2.14202880859375,36.1681327819824,,,,,,,,,,,,,,,,
,3827492663.349,300.004837036133,262.416603088379,1.13736923971914E-5,5.80362828261923E-7,1,2.99776006220938,40.0298881530762,2.0092191396454,11.230000294745,6.70517106502094E-5,-9.66446347734695E-6,0.25,-3.79238159939682E-6,1.13855639969133E-5,-3.75035117781637E-6,300.004150390625,300.004150390625,247.930740356445,276.902465820313,49.687343338986,19.52457689154,37.4529571533203,0,0,0,120,300.2470703125,1,6,1,2.14492797851562,36.1681327819824,,,,,,,,,,,,,,,,
,3827492666.3395,300.004989624023,232.419166564941,1.02916555705895E-5,5.63229924276829E-7,1,2.99776006220938,40.0298881530762,2.00927381785261,11.230000294745,6.19160676903141E-5,-1.56200293149125E-5,0.25,-4.66792719139659E-6,1.03068965839072E-5,-4.62968567101386E-6,300.005523681641,300.005523681641,216.907592773438,247.930740356445,49.7670694479476,19.5234000430266,37.4586143493652,0,0,0,120,300.246276855469,1,6,1,2.14263916015625,36.6568908691406,,,,,,,,,,,,,,,,
,3827492669.3395,300.004058837891,202.492309570313,1.00860966105437E-5,6.15315103852168E-7,1,2.99776006220938,40.0298881530762,2.00928692138387,11.230000294745,6.00400387503102E-5,-1.17661972599192E-5,0.25,-3.93772588546823E-6,1.00987157292267E-5,-3.90035611360862E-6,300.004455566406,300.004455566406,188.077026367187,216.907592773438,49.5560297477552,19.5239961031845,37.447566986084,0,0,0,120,300.246063232422,1,6,1,2.16644287109375,36.6568908691406,,,,,,,,,,,,,,,,
