#Procedure: <sagnac.procedures.PHEProcedure.sagnacPHEProcedure>
#Parameters:
#	Applied Magnetic Field: 0.02 T
#	Applied Sample Voltage: 4 V
#	Applied Sample Voltage frequency: 3137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Field Azimuth stop: 170 deg
#	Field Azimuth start: -170 deg
#	Field Azimuth step: 1 deg
#	Field Polar: 0 deg
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	50 Ohm Input Impedance: True
#	input range: 2 V
#	Time Queued: 02:33pm 2021-04-17
#	Sample Name: IPC5R9
#	Saturate First?: False
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#Data:
ThetaK,Ratio,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,field_azimuth,elapsed_time
-0.0027371992700890692,-0.010081865982177148,0.0020929113835178245,3.962296718357224e-05,0.7604773379766325,-0.20759166876624827,-2.5475783750299413e-06,1.9479044058389415e-06,-6.831266568122368e-07,-0.010362756889373662,5.761777794876316e-05,1.2555795966706654e-06,7.680389673929145e-06,-170.0,15.313038349151611
-0.0027488169674794727,-0.010124658052337402,0.0021017260522657333,4.1391050666404825e-05,0.7605929034958704,-0.20758489238859026,-2.342012242880146e-06,1.7906679904642208e-06,-4.396780062788662e-07,-0.010361861335439022,5.755323209087358e-05,1.2031981202643833e-06,7.154977593257384e-06,-169.0,31.666321516036987
-0.002742178259199684,-0.010100205350872233,0.0020967061398997912,4.1201264405174297e-05,0.7603303774030943,-0.2075904466356938,-2.3734155744199725e-06,1.814727068677546e-06,-1.4844036354895707e-07,-0.010362606672614145,5.754534144456506e-05,1.141509919763339e-06,6.702155225113931e-06,-168.0,48.00435280799866
-0.00272656707006302,-0.010042703855351741,0.0020848969788390967,4.031531590503105e-05,0.7602327458253908,-0.20760315238490862,-2.2427972780485494e-06,1.7149605343763212e-06,-7.256117401859127e-07,-0.010364741593761443,5.755752512303833e-05,1.0974713026687666e-06,6.261825581514181e-06,-167.0,64.34145426750183
-0.0027297153079461818,-0.01005429992021832,0.0020871794313968906,4.126036415993961e-05,0.7605732707317001,-0.20759072714747195,-3.126267542473846e-06,2.3903652022087875e-06,-6.024687450332279e-07,-0.01036434015355744,5.732562586344592e-05,1.002161557294492e-06,5.717953696446026e-06,-166.0,80.681795835495
-0.002724655561109132,-0.010035663097498749,0.002083244521940128,4.0349222958702454e-05,0.7606180168971947,-0.20758414284147783,-4.246645241094877e-06,3.2469105426317533e-06,-1.3845463845205102e-06,-0.010363866494086278,5.7353796517866906e-05,1.0573626659481045e-06,5.177240910593474e-06,-165.0,97.04591584205627
-0.002732550443438989,-0.010064742719793218,0.0020895051360244844,4.0717318098921854e-05,0.7601208353605671,-0.20760641321861964,-3.623913260955069e-06,2.7710778413343404e-06,-2.851781216347375e-06,-0.010365964991982394,5.726379453471546e-05,1.054663612927315e-06,4.730403935770993e-06,-164.0,113.40225577354431
-0.002736051989463457,-0.01007764014425896,0.002091957435650164,4.098936610657111e-05,0.7606623467609119,-0.20758405794454893,-6.171174204052239e-06,4.718369736868824e-06,-9.434046523345023e-07,-0.010367346301686462,5.725766075843477e-05,9.855156540763922e-07,3.879409511548486e-06,-163.0,129.75648045539856
-0.0027473120290249595,-0.010119114833494827,0.002100621703398488,4.012132389669437e-05,0.7602823574849894,-0.20758947180294016,-4.502413917125835e-06,3.4425551635151336e-06,-1.1199103464167664e-06,-0.01036712090599496,5.723602239916724e-05,9.293432588592889e-07,3.374812367063052e-06,-162.0,146.09972715377808
-0.002745460409249723,-0.010112294665388941,0.0020988725412344604,4.090810184697046e-05,0.760737442757923,-0.20755650529233594,-6.210739242543665e-06,4.747990174822588e-06,-1.2089754758351936e-06,-0.010367063906958057,5.7164715492951674e-05,9.001566796980119e-07,2.860219417598115e-06,-161.0,162.46796083450317
-0.0027549509704196604,-0.010147251749397922,0.0021066271079143153,4.2467986129447935e-05,0.7601795910649559,-0.20760568082282085,-7.543619457715317e-06,5.768317692034132e-06,-2.450334324225968e-06,-0.010366530210143683,5.7153722095647646e-05,9.428527433307984e-07,2.3533970491548833e-06,-160.0,178.82211565971375
