#Procedure: <sagnac.procedures.PHEProcedure.sagnacPHEProcedure>
#Parameters:
#	Applied Magnetic Field: 0.1 T
#	Applied Sample Voltage: 6 V
#	Applied Sample Voltage frequency: 3137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Field Azimuth stop: 170 deg
#	Field Azimuth start: -170 deg
#	Field Azimuth step: 1 deg
#	Field Polar: 0 deg
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.2 s
#	50 Ohm Input Impedance: False
#	input range: 2 V
#	Time Queued: 09:26am 2021-04-12
#	Sample Name: C5R7
#	Saturate First?: False
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.2 s
#	Settling: 2 s
#Data:
ThetaK,Ratio,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,field_azimuth,elapsed_time
-0.008372418867331897,-0.030840521061283818,0.005234769560941894,0.00016782927588487344,0.7751777279375991,-0.1697367418189783,1.2219113193804047e-05,-7.639161920565705e-06,1.1338312429791575e-06,-0.011475987216430207,0.0001756143232228886,2.1199470105210217e-06,1.4782127276886039e-05,-170.0,2.2420005798339844
-0.00838228359455313,-0.030876865433168352,0.005239982867835373,0.00016384553291075624,0.7750410534957836,-0.16970579086718146,1.170305412917578e-05,-7.315197261706112e-06,4.7951201219137254e-06,-0.011476544616524193,0.00017548675869759187,2.1626775594527765e-06,1.6659135391179975e-05,-169.0,5.499000072479248
-0.008381739241115368,-0.030874859884559087,0.00524235148675381,0.000166734236543069,0.7753589850038828,-0.1697935312534188,1.6163003206670465e-05,-1.0108189282213295e-05,5.096624155207045e-06,-0.011475849251512925,0.00017547141283589393,2.2555923321329293e-06,1.5112224383032342e-05,-168.0,8.856073379516602
-0.008381211502132589,-0.030872915548266714,0.005241744817246135,0.0001647569054139242,0.7753602340460541,-0.16978457408893538,1.3345585075826319e-05,-8.345762350154047e-06,5.691444829052194e-06,-0.011474730661445836,0.00017562477450583602,2.158961045736708e-06,1.6316206313406542e-05,-167.0,12.211023807525635
-0.008376815435618787,-0.030856719226724137,0.005239747332734483,0.0001644224368521783,0.7754716839476747,-0.16980895779083618,8.88558719220253e-06,-5.557467036712758e-06,1.6734585087413126e-06,-0.011476922542001135,0.0001755085981730192,2.1458852734337845e-06,1.683928754953316e-05,-166.0,15.581003427505493
-0.008374209818854976,-0.030847119418147877,0.0052351219112914925,0.00016435588584411769,0.7750941962813083,-0.16971185673212594,1.4925619763900043e-05,-9.329851355466634e-06,1.2081845100192906e-06,-0.011478038801461476,0.00017555847641326133,2.1057656937187483e-06,1.6916938070068854e-05,-165.0,18.93306803703308
-0.008388156305635226,-0.030898502129588685,0.005243976467418266,0.0001675073630356048,0.7751081266540851,-0.16971620324587147,1.7005824678080416e-05,-1.0630438296238499e-05,4.282434050255695e-06,-0.011479007756101391,0.00017542974354925258,2.2049246056777594e-06,1.6762823475921146e-05,-164.0,22.2820725440979
-0.00839653849837759,-0.03092938446722264,0.005250731396512568,0.00016724173679342217,0.7752656406872535,-0.16976514363152043,8.74540586063769e-06,-5.468379676048243e-06,3.4573494632008754e-06,-0.011480063225513886,0.00017560540266835416,2.1105683473106966e-06,1.6946569512753448e-05,-163.0,25.624048948287964
-0.008396568313212,-0.030929494313425315,0.005246832193339454,0.00016675984282237954,0.7748040395987674,-0.16963847323756612,8.911006298364735e-06,-5.567769810183901e-06,3.547356001541854e-06,-0.011481679037973312,0.00017546978471779778,2.2817984712932576e-06,1.665718643466336e-05,-162.0,28.961095809936523
-0.008388476508922124,-0.030899681847550958,0.005245925687493619,0.00016757146751792047,0.7753155965987805,-0.16977280586173413,8.03038926117942e-06,-5.021516453157893e-06,5.058784261860181e-06,-0.01148316506550001,0.0001754403119584772,2.2305101556262913e-06,1.6145431851517693e-05,-161.0,32.192087173461914
-0.008387616072297632,-0.03089651175978344,0.00524800958087661,0.0001648687637203994,0.7756025405011642,-0.16985767266153656,6.6282820322780095e-06,-4.1468307909650915e-06,2.502731027543213e-06,-0.011488711895599213,0.00017545759758585703,2.08656098312328e-06,1.4039101934025256e-05,-160.0,35.43804383277893
-0.0083834270271598,-0.030881078155353608,0.00524461918977848,0.0001658651713408825,0.7755311345650326,-0.16983277473002548,7.934643482446227e-06,-4.9633978604690784e-06,7.130854566623163e-06,-0.011484687686985361,0.00017553295070015784,2.2466283072588944e-06,1.5924439786677272e-05,-159.0,38.77904772758484
-0.008377736572419787,-0.030860112948368067,0.005238596744749475,0.0001668350163506566,0.775231842036611,-0.1697529997221381,8.364061970131478e-06,-5.229556571976702e-06,2.0172834349064646e-06,-0.01148485343625488,0.00017548322725912844,2.2756668197384722e-06,1.4949582010587867e-05,-158.0,42.04504466056824
-0.008379913701149917,-0.030868134090995623,0.005240224156037681,0.00016555014088024615,0.7752584211404646,-0.16976161048769964,7.901584212204188e-06,-4.940647002828598e-06,2.7292097024213184e-07,-0.011484077677276132,0.00017572435361523048,2.2224443509808204e-06,1.507888199291416e-05,-157.0,45.30104613304138
-0.008387246207029474,-0.030895149073351426,0.005246144024677432,0.00016416883526636943,0.7754373017433798,-0.16980478107491923,7.358419596077393e-06,-4.602190897124557e-06,2.3779008599248244e-06,-0.01148507922903287,0.00017552446826760547,2.1868239363991316e-06,1.488519458771931e-05,-156.0,48.53912019729614
-0.008384765435803276,-0.030886009223631463,0.0052445285560731815,0.0001634575441394039,0.775435722290461,-0.1698027258264397,1.0443613987343538e-05,-6.5316910590425985e-06,2.838705027317184e-06,-0.011484443778385424,0.000175389087578967,2.1553120092228935e-06,1.6220044422219325e-05,-155.0,51.800047397613525
-0.008381668217277972,-0.030874598213105408,0.005241766326508633,0.00016723916407817755,0.775339156681869,-0.16977601749918964,1.1823778576978977e-05,-7.393716532566211e-06,5.290623978913535e-06,-0.011484401222477531,0.0001755064507484437,2.2420795818992958e-06,1.5403829835935693e-05,-154.0,55.06904363632202
-0.008382419031540068,-0.030877364420495598,0.005241450631248769,0.00016676652114259086,0.7752458842617443,-0.1697505836271968,9.106351059012186e-06,-5.693585292749393e-06,5.460088458512001e-06,-0.011484114531858085,0.00017551236829053865,2.162370062386574e-06,1.5442123361805792e-05,-153.0,58.42004418373108
-0.008376469801449314,-0.03085544581531472,0.00523756746746559,0.00016442213730918597,0.7751874730970567,-0.1697453181786791,1.141598752227803e-05,-7.137423330728968e-06,1.552029089190902e-06,-0.011485596523640064,0.00017546439794381368,2.090526696467645e-06,1.3669777572189388e-05,-152.0,61.773046016693115
-0.008388629285352072,-0.030900244718417236,0.00524312539811575,0.00016515505007999373,0.7749783560891914,-0.16967908979020901,9.170036811082442e-06,-5.730988948240072e-06,3.243765372756649e-06,-0.01148533720120284,0.00017561234936516282,2.218564194846132e-06,1.6750273441909188e-05,-151.0,65.12804532051086
-0.008384011898513075,-0.030883232983415974,0.005241689641655001,0.00016905007974504454,0.775142814174203,-0.1697260660653547,9.1134296913599e-06,-5.697188102680351e-06,4.356082594649937e-06,-0.011484925841467743,0.00017541557982542408,2.2387213190838764e-06,1.7343869826689398e-05,-150.0,68.47706890106201
-0.008381158937555814,-0.030872721885839526,0.005239080541093853,0.00016545698224120653,0.7750214503728938,-0.16969934042313503,7.923749959520079e-06,-4.95268928842873e-06,3.676125378311478e-06,-0.011487456125059872,0.00017554520836593119,2.21501099802352e-06,1.6941246245118083e-05,-149.0,71.82005572319031
-0.008375472300698338,-0.03085177074817085,0.005235391363294634,0.0001658710206199393,0.7750481243054065,-0.16969500409000127,1.3403115678231685e-05,-8.377317752619836e-06,4.3792917507725835e-06,-0.011486657832339995,0.0001755269619459963,2.1620377029271406e-06,1.6494061122376195e-05,-148.0,75.15705299377441
-0.00837248842697509,-0.03084077733808235,0.005234032492433735,0.0001661333754683842,0.7750718899275373,-0.1697114322073434,9.442330584979312e-06,-5.902288939049876e-06,3.4606142493103455e-06,-0.011487272600694402,0.0001755621475554971,2.2280170131261163e-06,1.536910116087366e-05,-147.0,78.43209671974182
-0.008378615977045999,-0.030863352917383107,0.0052372628611685795,0.00016576741205221064,0.77505620930148,-0.1696919604032654,1.2037604124961016e-05,-7.523700340784784e-06,9.283711200093172e-07,-0.011487654218148029,0.00017542581712121663,2.178648125289906e-06,1.6636858339998095e-05,-146.0,81.79506802558899
-0.008380520440074207,-0.03087036948472141,0.005237560546638898,0.00016747116683619935,0.7749303154089738,-0.16966303397279095,1.102340495159612e-05,-6.888634728539537e-06,2.1951165542824902e-06,-0.011487437773873994,0.00017547971588082376,2.0965502395780635e-06,1.7398621548838597e-05,-145.0,85.13809323310852
-0.008383343099323667,-0.03088076894196601,0.005240553555173208,0.0001718018673735592,0.7750664780915965,-0.16970281941559615,1.1049769582190843e-05,-6.906729473261436e-06,6.143576189395333e-07,-0.011487766721789743,0.00017568063849986702,2.288853217466963e-06,1.6803766333226994e-05,-144.0,88.47910571098328
-0.008372247337857533,-0.030839889099672592,0.005233030527761609,0.0001676320599902068,0.7750045879633716,-0.16968383092587597,1.177069680033806e-05,-7.356526430012201e-06,1.4481623215855102e-06,-0.011488742616429197,0.00017549745369147677,2.233464732940623e-06,1.7126344126466772e-05,-143.0,91.82907128334045
-0.00836536728928468,-0.030814541120434736,0.00522697594040358,0.0001664561313174974,0.7748041292928713,-0.16962692775383562,1.0220394247359008e-05,-6.385466212200676e-06,3.2055623907438207e-06,-0.011489352660370175,0.0001756488901451896,2.33973996382818e-06,1.6607355394451656e-05,-142.0,95.18807935714722
-0.008372718488759518,-0.030841624948786818,0.005231060979025289,0.00016805953274360417,0.7747236443863498,-0.16961042058294848,1.1360360629676378e-05,-7.0970001634378625e-06,4.6665572054835576e-06,-0.011489249702126433,0.0001755555041575158,2.274831667025492e-06,1.6273973550459465e-05,-141.0,98.5360655784607
-0.008378377326730762,-0.030862473663828646,0.0052317859025639004,0.00017022595777449118,0.7743877439407343,-0.16951933145578166,1.2057087628282155e-05,-7.528211543462861e-06,1.3227299794123186e-06,-0.011487852369947798,0.0001755254240544977,2.2608913271278116e-06,1.872924822545211e-05,-140.0,101.87411546707153
-0.008386673665330566,-0.030893039670692218,0.0052356774246117435,0.0001677711648228186,0.7742256772219975,-0.16947757425044696,8.159319501010022e-06,-5.093265843703667e-06,1.3282854149406755e-06,-0.011487692958993156,0.00017567700040636698,2.4221561820712447e-06,1.9036357820703198e-05,-139.0,105.22309899330139
